Country,Year,FAO_Area,FAO_Species_Code,FAO_Species_Name,Species scientific name,Landings
BEL,1906,Va,SKX,"Sharks, rays, skates, etc. nei",Elasmobranchii,1
BEL,1906,Va,SOL,Common sole,Solea solea,
BEL,1906,Va,SPR,European sprat,Sprattus sprattus,
BEL,1906,Va,TUR,Turbot,Psetta maxima,P
BEL,1906,Va,WHG,Whiting,Merlangius merlangus,41
BEL,1906,Vb,BLL,Brill,Scophthalmus rhombus,
BEL,1906,Vb,COD,Atlantic cod,Gadus morhua,23
BEL,1906,Vb,COE,European conger,Conger conger,
BEL,1906,Vb,DAB,Common dab,Limanda limanda,P
BEL,1906,Vb,DGZ,Dogfishes nei,Squalus spp,
BEL,1906,Vb,FIN,Finfishes nei,Osteichthyes,
BEL,1906,Vb,FLE,European flounder,Platichthys flesus,
BEL,1906,Vb,GUX,"Gurnards, searobins nei",Triglidae,
BEL,1906,Vb,HAD,Haddock,Melanogrammus aeglefinus,23
BEL,1906,Vb,HAL,Atlantic halibut,Hippoglossus hippoglossus,1
BEL,1906,Vb,HER,Atlantic herring,Clupea harengus,
BEL,1906,Vb,HKE,European hake,Merluccius merluccius,
BEL,1906,Vb,HOM,Atlantic horse mackerel,Trachurus trachurus,
BEL,1906,Vb,JOD,John dory,Zeus faber,
BEL,1906,Vb,LEM,Lemon sole,Microstomus kitt,P
BEL,1906,Vb,LIN,Ling,Molva molva,
BEL,1906,Vb,MAC,Atlantic mackerel,Scomber scombrus,
BEL,1906,Vb,MUR,Surmullet,Mullus surmuletus,
BEL,1906,Vb,PLA,Amer. plaice(=Long rough dab),Hippoglossoides platessoides,P
BEL,1906,Vb,PLE,European plaice,Pleuronectes platessa,
BEL,1906,Vb,POK,Saithe(=Pollock),Pollachius virens,5
BEL,1906,Vb,POL,Pollack,Pollachius pollachius,
BEL,1906,Vb,SKX,"Sharks, rays, skates, etc. nei",Elasmobranchii,P
BEL,1906,Vb,SOL,Common sole,Solea solea,
BEL,1906,Vb,SPR,European sprat,Sprattus sprattus,
BEL,1906,Vb,TUR,Turbot,Psetta maxima,
BEL,1906,Vb,WHG,Whiting,Merlangius merlangus,
BEL,1906,VIa,BLL,Brill,Scophthalmus rhombus,P
BEL,1906,VIa,COD,Atlantic cod,Gadus morhua, 
BEL,1906,VIa,COE,European conger,Conger conger,
BEL,1906,VIa,DAB,Common dab,Limanda limanda,1
BEL,1906,VIa,DGZ,Dogfishes nei,Squalus spp,
BEL,1906,VIa,FIN,Finfishes nei,Osteichthyes,
BEL,1906,VIa,FLE,European flounder,Platichthys flesus,1
BEL,1906,VIa,GUX,"Gurnards, searobins nei",Triglidae,
BEL,1906,VIa,HAD,Haddock,Melanogrammus aeglefinus, 
BEL,1906,VIa,HAL,Atlantic halibut,Hippoglossus hippoglossus, 
BEL,1906,VIa,HER,Atlantic herring,Clupea harengus,
BEL,1906,VIa,HKE,European hake,Merluccius merluccius,
BEL,1906,VIa,HOM,Atlantic horse mackerel,Trachurus trachurus,
BEL,1906,VIa,JOD,John dory,Zeus faber,
BEL,1906,VIa,LEM,Lemon sole,Microstomus kitt,P
BEL,1906,VIa,LIN,Ling,Molva molva,
BEL,1906,VIa,MAC,Atlantic mackerel,Scomber scombrus,
BEL,1906,VIa,MUR,Surmullet,Mullus surmuletus,
BEL,1906,VIa,PLA,Amer. plaice(=Long rough dab),Hippoglossoides platessoides,3
BEL,1906,VIa,PLE,European plaice,Pleuronectes platessa,1
BEL,1906,VIa,POK,Saithe(=Pollock),Pollachius virens, 
BEL,1906,VIa,POL,Pollack,Pollachius pollachius,
BEL,1906,VIa,SKX,"Sharks, rays, skates, etc. nei",Elasmobranchii, 
BEL,1906,VIa,SOL,Common sole,Solea solea, 
BEL,1906,VIa,SPR,European sprat,Sprattus sprattus,
BEL,1906,VIa,TUR,Turbot,Psetta maxima,P
BEL,1906,VIa,WHG,Whiting,Merlangius merlangus,
BEL,1906,VIIg-k,BLL,Brill,Scophthalmus rhombus,2
BEL,1906,VIIg-k,COD,Atlantic cod,Gadus morhua,27
BEL,1906,VIIg-k,COE,European conger,Conger conger,19
BEL,1906,VIIg-k,DAB,Common dab,Limanda limanda,5
BEL,1906,VIIg-k,DGZ,Dogfishes nei,Squalus spp,
BEL,1906,VIIg-k,FIN,Finfishes nei,Osteichthyes,16
BEL,1906,VIIg-k,FLE,European flounder,Platichthys flesus,
BEL,1906,VIIg-k,GUX,"Gurnards, searobins nei",Triglidae,45
BEL,1906,VIIg-k,HAD,Haddock,Melanogrammus aeglefinus,25
BEL,1906,VIIg-k,HAL,Atlantic halibut,Hippoglossus hippoglossus,
BEL,1906,VIIg-k,HER,Atlantic herring,Clupea harengus,
BEL,1906,VIIg-k,HKE,European hake,Merluccius merluccius,6
BEL,1906,VIIg-k,HOM,Atlantic horse mackerel,Trachurus trachurus,10
BEL,1906,VIIg-k,JOD,John dory,Zeus faber,1
BEL,1906,VIIg-k,LEM,Lemon sole,Microstomus kitt,3
BEL,1906,VIIg-k,LIN,Ling,Molva molva,15
BEL,1906,VIIg-k,MAC,Atlantic mackerel,Scomber scombrus,
BEL,1906,VIIg-k,MUR,Surmullet,Mullus surmuletus,1
BEL,1906,VIIg-k,PLA,Amer. plaice(=Long rough dab),Hippoglossoides platessoides,11
BEL,1906,VIIg-k,PLE,European plaice,Pleuronectes platessa,12
BEL,1906,VIIg-k,POK,Saithe(=Pollock),Pollachius virens,11
BEL,1906,VIIg-k,POL,Pollack,Pollachius pollachius,2
BEL,1906,VIIg-k,SKX,"Sharks, rays, skates, etc. nei",Elasmobranchii,53
BEL,1906,VIIg-k,SOL,Common sole,Solea solea,5
BEL,1906,VIIg-k,SPR,European sprat,Sprattus sprattus,
BEL,1906,VIIg-k,TUR,Turbot,Psetta maxima,4
BEL,1906,VIIg-k,WHG,Whiting,Merlangius merlangus,5
BEL,1906,VIII,BLL,Brill,Scophthalmus rhombus,1
BEL,1906,VIII,COD,Atlantic cod,Gadus morhua,1
BEL,1906,VIII,COE,European conger,Conger conger,9
BEL,1906,VIII,DAB,Common dab,Limanda limanda,P
BEL,1906,VIII,DGZ,Dogfishes nei,Squalus spp,P
BEL,1906,VIII,FIN,Finfishes nei,Osteichthyes,39
BEL,1906,VIII,FLE,European flounder,Platichthys flesus,
BEL,1906,VIII,GUX,"Gurnards, searobins nei",Triglidae,95
BEL,1906,VIII,HAD,Haddock,Melanogrammus aeglefinus,5
BEL,1906,VIII,HAL,Atlantic halibut,Hippoglossus hippoglossus,
BEL,1906,VIII,HER,Atlantic herring,Clupea harengus,
BEL,1906,VIII,HKE,European hake,Merluccius merluccius,48
BEL,1906,VIII,HOM,Atlantic horse mackerel,Trachurus trachurus,23
BEL,1906,VIII,JOD,John dory,Zeus faber,6
BEL,1906,VIII,LEM,Lemon sole,Microstomus kitt,
BEL,1906,VIII,LIN,Ling,Molva molva,1
BEL,1906,VIII,MAC,Atlantic mackerel,Scomber scombrus,4
BEL,1906,VIII,MUR,Surmullet,Mullus surmuletus,P
BEL,1906,VIII,PLA,Amer. plaice(=Long rough dab),Hippoglossoides platessoides,1
BEL,1906,VIII,PLE,European plaice,Pleuronectes platessa,P
BEL,1906,VIII,POK,Saithe(=Pollock),Pollachius virens,
BEL,1906,VIII,POL,Pollack,Pollachius pollachius,1
BEL,1906,VIII,SKX,"Sharks, rays, skates, etc. nei",Elasmobranchii,243
BEL,1906,VIII,SOL,Common sole,Solea solea,59
BEL,1906,VIII,SPR,European sprat,Sprattus sprattus,
BEL,1906,VIII,TUR,Turbot,Psetta maxima,2
BEL,1906,VIII,WHG,Whiting,Merlangius merlangus,1
BEL,1907,IV,BLL,Brill,Scophthalmus rhombus,45
BEL,1907,IV,COD,Atlantic cod,Gadus morhua,332
BEL,1907,IV,COE,European conger,Conger conger,0
BEL,1907,IV,DAB,Common dab,Limanda limanda,113
BEL,1907,IV,DGZ,Dogfishes nei,Squalus spp,0
BEL,1907,IV,FIN,Finfishes nei,Osteichthyes,239
BEL,1907,IV,FLE,European flounder,Platichthys flesus,8
BEL,1907,IV,GUX,"Gurnards, searobins nei",Triglidae,73
BEL,1907,IV,HAD,Haddock,Melanogrammus aeglefinus,1061
BEL,1907,IV,HAL,Atlantic halibut,Hippoglossus hippoglossus,0
BEL,1907,IV,HER,Atlantic herring,Clupea harengus,1900
BEL,1907,IV,HKE,European hake,Merluccius merluccius,0
BEL,1907,IV,HOM,Atlantic horse mackerel,Trachurus trachurus,0
BEL,1907,IV,JOD,John dory,Zeus faber,0
BEL,1907,IV,LEM,Lemon sole,Microstomus kitt,10
BEL,1907,IV,LIN,Ling,Molva molva,8
BEL,1907,IV,MAC,Atlantic mackerel,Scomber scombrus,1
BEL,1907,IV,MON,Angler(=Monk),Lophius piscatorius, 
BEL,1907,IV,MUR,Surmullet,Mullus surmuletus,0
BEL,1907,IV,PLA,Amer. plaice(=Long rough dab),Hippoglossoides platessoides,2
BEL,1907,IV,PLE,European plaice,Pleuronectes platessa,1057
BEL,1907,IV,POK,Saithe(=Pollock),Pollachius virens,9
BEL,1907,IV,POL,Pollack,Pollachius pollachius,0
BEL,1907,IV,SKX,"Sharks, rays, skates, etc. nei",Elasmobranchii,434
BEL,1907,IV,SOL,Common sole,Solea solea,291
BEL,1907,IV,SPR,European sprat,Sprattus sprattus,1500
BEL,1907,IV,TUR,Turbot,Psetta maxima,54
BEL,1907,IV,WHG,Whiting,Merlangius merlangus,266
